Naam1,Naam2,AantalInteracties
"A. Bosman","A. El Fassed",1
"A. Bosman","A.A.G.M. van Raak",8
"A. Bosman","A.M.C. Eijsink",5
"A. Bosman","B.J. van Bochove",9
"A. Bosman","C.A. Ortega-Martijn",3
"A. Bosman","C.G. van der Staaij",4
"A. Bosman","E.E. Wiegman-van Meppelen Scheppink",1
"A. Bosman","H. Brinkman",1
"A. Bosman","H.G.J. Bruins Slot",2
"A. Bosman","J.J. (Jasper) van Dijk",1
"A. Bosman","J.R.V.A. Dijsselbloem",1
"A. Bosman","J.S. Voordewind",1
"A. Bosman","M.H.P. van Dam",3
"A. Bosman","M.M. Hernandez",2
"A. Bosman","M.P.M. Holtackers",1
"A. Bosman","R.W. Knops",3
"A. Bosman","W. Hachchi",6
"A. Bosman","W. van Gent",6
"A. El Fassed","A. Bosman",1
"A. El Fassed","A. Elissen",2
"A. El Fassed","A. NicolaÃ¯",5
"A. El Fassed","A. Pechtold",10
"A. El Fassed","A.G. Schouw",15
"A. El Fassed","A.M.C. Eijsink",17
"A. El Fassed","A.W. Lucas",1
"A. El Fassed","B. van der Ham",1
"A. El Fassed","B.A.M. Braakhuis",3
"A. El Fassed","C.G. van der Staaij",11
"A. El Fassed","C.J. Schouten",1
"A. El Fassed","E. Dijkgraaf",1
"A. El Fassed","E. Irrgang",2
"A. El Fassed","E. Ouwehand",17
"A. El Fassed","E.E. Wiegman-van Meppelen Scheppink",11
"A. El Fassed","F.C.G.M. Timmermans",15
"A. El Fassed","G.A. van der Steur",1
"A. El Fassed","G.P.J. Koopmans",4
"A. El Fassed","H. van Bommel",22
"A. El Fassed","H.J. Grashoff",1
"A. El Fassed","H.J. Ormel",7
"A. El Fassed","H.P.J. van Gerven",2
"A. El Fassed","I.S.H. de CaluwÃ©",1
"A. El Fassed","J. de Lange",1
"A. El Fassed","J. Recourt",1
"A. El Fassed","J.A. Hennis-Plasschaert",2
"A. El Fassed","J.F. Klaver",1
"A. El Fassed","J.H. ten Broeke",2
"A. El Fassed","J.J. (Jasper) van Dijk",13
"A. El Fassed","J.S. Voordewind",32
"A. El Fassed","K. Verhoeven",1
"A. El Fassed","K.G. Ferrier",7
"A. El Fassed","K.H.D.M. Dijkhoff",4
"A. El Fassed","L. Jacobi",9
"A. El Fassed","L. van Tongeren",2
"A. El Fassed","M. Hilkens",1
"A. El Fassed","M. Peters",2
"A. El Fassed","M.H.P. van Dam",2
"A. El Fassed","M.L. Thieme",8
"A. El Fassed","N. Albayrak",9
"A. El Fassed","P.F.C. (Paulus) Jansen",1
"A. El Fassed","P.M.M. Heijnen",2
"A. El Fassed","R.W. Knops",1
"A. El Fassed","S. van Veldhoven",13
"A. El Fassed","S.M.J.G. Gesthuizen",5
"A. El Fassed","S.W. Dikkers",15
"A. El Fassed","T. Dibi",2
"A. El Fassed","W. Hachchi",37
"A. El Fassed","W.R.F. Kortenoeven",2
"A. Elissen","A. El Fassed",2
"A. Elissen","A. Marcouch",4
"A. Elissen","A. Rouvoet",2
"A. Elissen","A. Slob",1
"A. Elissen","A.A.G.M. van Raak",4
"A. Elissen","A.G. Schouw",4
"A. Elissen","B.I. van der Burg",1
"A. Elissen","B.J. van Bochove",1
"A. Elissen","C. Ã‡Ã¶rÃ¼z",5
"A. Elissen","C.G. van der Staaij",4
"A. Elissen","C.J.E. Kooiman",1
"A. Elissen","G.A. van der Steur",5
"A. Elissen","G.P.J. Koopmans",3
"A. Elissen","H. Brinkman",2
"A. Elissen","J. Recourt",5
"A. Elissen","J.A. Hennis-Plasschaert",7
"A. Elissen","J.J.G. van Bemmel",2
"A. Elissen","Kuiken A.H.",1
"A. Elissen","L. Bontes",1
"A. Elissen","L.M.J.S. Helder",2
"A. Elissen","L.W.E. de Jong",1
"A. Elissen","M.A. Berndsen",8
"A. Elissen","M.M. van Toorenburg",8
"A. Elissen","P.M.M. Heijnen",2
"A. Elissen","S.M.J.G. Gesthuizen",6
"A. Elissen","T. Dibi",3
"A. Elissen","W. Hachchi",6
"A. Marcouch","A. Elissen",4
"A. Marcouch","A. Rouvoet",6
"A. Marcouch","A. Slob",1
"A. Marcouch","A.A.G.M. van Raak",6
"A. Marcouch","B. van der Ham",1
"A. Marcouch","B.J. van Bochove",1
"A. Marcouch","C. Ã‡Ã¶rÃ¼z",6
"A. Marcouch","C.G. van der Staaij",10
"A. Marcouch","C.J. Schouten",2
"A. Marcouch","C.J.E. Kooiman",5
"A. Marcouch","G.A. van der Steur",1
"A. Marcouch","H. Brinkman",4
"A. Marcouch","J.A. Hennis-Plasschaert",6
"A. Marcouch","Kuiken A.H.",4
"A. Marcouch","L.M.J.S. Helder",2
"A. Marcouch","M. Smits",2
"A. Marcouch","M.A. Berndsen",12
"A. Marcouch","M.M. van Toorenburg",6
"A. Marcouch","P.A. Dijkstra",7
"A. Marcouch","S.M.J.G. Gesthuizen",3
"A. Marcouch","T. Dibi",15
"A. Marcouch","T.M. Jadnanansing",1
"A. Marcouch","W. van Gent",8
"A. Mulder","A. Slob",1
"A. Mulder","B.A.M. Braakhuis",1
"A. Mulder","C.G. van der Staaij",3
"A. Mulder","E. Dijkgraaf",1
"A. Mulder","E. Irrgang",1
"A. Mulder","E. Ouwehand",1
"A. Mulder","E.E. Wiegman-van Meppelen Scheppink",3
"A. Mulder","K. Gerbrands",7
"A. Mulder","Kuiken A.H.",2
"A. Mulder","L.G.J. Voortman",2
"A. Mulder","M. Agema",1
"A. Mulder","M.C.A. Smilde",8
"A. Mulder","M.L. Thieme",1
"A. Mulder","P.A. Dijkstra",2
"A. Mulder","P.H. Omtzigt",2
"A. Mulder","P.J.M.G. Blanksma-van den Heuvel",1
"A. Mulder","R.A. van Vliet",1
"A. Mulder","R.H.A. Plasterk",1
"A. Mulder","R.M. Leijten",1
"A. Mulder","W. Koolmees",1
"A. Mulder","W.R. Dille",1
"A. NicolaÃ¯","A. El Fassed",5
"A. NicolaÃ¯","A. Pechtold",4
"A. NicolaÃ¯","C.G. van der Staaij",7
"A. NicolaÃ¯","F.C.G.M. Timmermans",4
"A. NicolaÃ¯","H. van Bommel",4
"A. NicolaÃ¯","H.J. Ormel",8
"A. NicolaÃ¯","J.S. Voordewind",6
"A. NicolaÃ¯","M.L. Thieme",4
"A. NicolaÃ¯","S.W. Dikkers",2
"A. NicolaÃ¯","W.R.F. Kortenoeven",3
"A. Pechtold","A. El Fassed",10
"A. Pechtold","A. NicolaÃ¯",4
"A. Pechtold","A. Rouvoet",9
"A. Pechtold","A. Slob",7
"A. Pechtold","A.A.G.M. van Raak",1
"A. Pechtold","C.G. van der Staaij",12
"A. Pechtold","D.M. Samsom",9
"A. Pechtold","E. Ouwehand",2
"A. Pechtold","E.G.M. Roemer",29
"A. Pechtold","F. Halsema",21
"A. Pechtold","F.C.G.M. Timmermans",20
"A. Pechtold","G. Wilders",1
"A. Pechtold","H. van Bommel",15
"A. Pechtold","H.J. Ormel",11
"A. Pechtold","J. Recourt",1
"A. Pechtold","J.C.M. Sap",27
"A. Pechtold","J.H. ten Broeke",5
"A. Pechtold","J.S. Voordewind",18
"A. Pechtold","M. Peters",15
"A. Pechtold","M.J. Cohen",36
"A. Pechtold","M.L. Thieme",25
"A. Pechtold","N. Albayrak",9
"A. Pechtold","S. van Haersma Buma",6
"A. Pechtold","S. van Veldhoven",2
"A. Pechtold","S.A. Blok",1
"A. Pechtold","S.W. Dikkers",3
"A. Pechtold","W. van Gent",6
"A. Pechtold","W.R.F. Kortenoeven",2
"A. Rouvoet","A. Elissen",2
"A. Rouvoet","A. Marcouch",6
"A. Rouvoet","A. Pechtold",9
"A. Rouvoet","A.A.G.M. van Raak",6
"A. Rouvoet","B. van der Ham",1
"A. Rouvoet","C. Ã‡Ã¶rÃ¼z",1
"A. Rouvoet","C.G. van der Staaij",20
"A. Rouvoet","E. Dijkgraaf",2
"A. Rouvoet","E.G.M. Roemer",7
"A. Rouvoet","F. Halsema",7
"A. Rouvoet","G.A. van der Steur",2
"A. Rouvoet","H. Brinkman",1
"A. Rouvoet","J. Recourt",1
"A. Rouvoet","J.A. Hennis-Plasschaert",2
"A. Rouvoet","J.C.M. Sap",2
"A. Rouvoet","J.F. Klaver",2
"A. Rouvoet","J.J. (Jasper) van Dijk",1
"A. Rouvoet","J.J. van Klaveren",3
"A. Rouvoet","Kuiken A.H.",3
"A. Rouvoet","L.M.J.S. Helder",3
"A. Rouvoet","M.A. Berndsen",6
"A. Rouvoet","M.J. Cohen",11
"A. Rouvoet","M.L. Thieme",6
"A. Rouvoet","M.M. van Toorenburg",5
"A. Rouvoet","S. de Rouwe",1
"A. Rouvoet","S. van Haersma Buma",1
"A. Rouvoet","S.M.J.G. Gesthuizen",4
"A. Rouvoet","T. Dibi",9
"A. Rouvoet","T.M. Jadnanansing",1
"A. Slob","A. Elissen",1
"A. Slob","A. Marcouch",1
"A. Slob","A. Mulder",1
"A. Slob","A. Pechtold",7
"A. Slob","A.A.H. Hazekamp",1
"A. Slob","A.H. Kuiken",2
"A. Slob","A.J. Koppejan",16
"A. Slob","A.W. Lucas",1
"A. Slob","B.A.M. Braakhuis",7
"A. Slob","B.I. van der Burg",1
"A. Slob","B.J. van Bochove",2
"A. Slob","C.A. Ortega-Martijn",4
"A. Slob","C.G. van der Staaij",11
"A. Slob","C.J.E. Kooiman",2
"A. Slob","Ch.B. Aptroot",2
"A. Slob","D.M. Samsom",7
"A. Slob","E. Dijkgraaf",33
"A. Slob","E. Irrgang",18
"A. Slob","E. Ouwehand",9
"A. Slob","E.E. Wiegman-van Meppelen Scheppink",4
"A. Slob","E.G.M. Roemer",10
"A. Slob","F. Bashir",25
"A. Slob","F. Koser Kaya",1
"A. Slob","G.P.J. Koopmans",4
"A. Slob","H. NeppÃ©rus",1
"A. Slob","H.J. Grashoff",7
"A. Slob","J. Houwers",13
"A. Slob","J. Recourt",2
"A. Slob","J.A. Hennis-Plasschaert",1
"A. Slob","J.C.M. Sap",28
"A. Slob","J.E.J.W. Sharpe",2
"A. Slob","J.F. Klaver",1
"A. Slob","J.R.V.A. Dijsselbloem",12
"A. Slob","J.S. Monasch",9
"A. Slob","J.S. Voordewind",9
"A. Slob","K. Arib",2
"A. Slob","K. Gerbrands",6
"A. Slob","K. Verhoeven",12
"A. Slob","Kuiken A.H.",2
"A. Slob","L. Jacobi",12
"A. Slob","L. van Tongeren",17
"A. Slob","L.M.J.S. Helder",1
"A. Slob","M. Smits",1
"A. Slob","M.A. Berndsen",2
"A. Slob","M.C. Haverkamp",3
"A. Slob","M.G.J. Harbers",5
"A. Slob","M.I. Hamer",1
"A. Slob","M.J. Cohen",9
"A. Slob","M.L. Thieme",4
"A. Slob","M.M. van Toorenburg",1
"A. Slob","P.E. Smeets",1
"A. Slob","P.F.C. (Paulus) Jansen",4
"A. Slob","P.F.C. Jansen",7
"A. Slob","P.H. Omtzigt",3
"A. Slob","P.J.M.G. Blanksma-van den Heuvel",7
"A. Slob","R. de Mos",2
"A. Slob","R. Vermeij",3
"A. Slob","R.A. van Vliet",2
"A. Slob","R.H.A. Plasterk",14
"A. Slob","S. de Rouwe",9
"A. Slob","S. Karabulut",2
"A. Slob","S. van Haersma Buma",2
"A. Slob","S. van Veldhoven",18
"A. Slob","S.A. Blok",2
"A. Slob","S.A.M. Dijksma",21
"A. Slob","S.M.J.G. Gesthuizen",1
"A. Slob","T. Dibi",2
"A. Slob","V.A. Groot",3
"A. Slob","W. Koolmees",20
"A. Slob","W. van Gent",26
"A. van Miltenburg","A.G. Wolbert",1
"A. van Miltenburg","E. Dijkgraaf",1
"A. van Miltenburg","E.E. Wiegman-van Meppelen Scheppink",1
"A. van Miltenburg","J. Klijnsma",2
"A. van Miltenburg","K. Gerbrands",2
"A. van Miltenburg","L.G.J. Voortman",3
"A. van Miltenburg","M. Bosma",3
"A. van Miltenburg","M.C. Haverkamp",2
"A. van Miltenburg","P.A. Dijkstra",2
"A.A.G.M. van Raak","A. Bosman",8
"A.A.G.M. van Raak","A. Elissen",4
"A.A.G.M. van Raak","A. Marcouch",6
"A.A.G.M. van Raak","A. Pechtold",1
"A.A.G.M. van Raak","A. Rouvoet",6
"A.A.G.M. van Raak","A.G. Schouw",13
"A.A.G.M. van Raak","B.J. van Bochove",9
"A.A.G.M. van Raak","C. Ã‡Ã¶rÃ¼z",5
"A.A.G.M. van Raak","C.A. Ortega-Martijn",8
"A.A.G.M. van Raak","C.G. van der Staaij",14
"A.A.G.M. van Raak","C.J. Schouten",3
"A.A.G.M. van Raak","E. Lucassen",1
"A.A.G.M. van Raak","F. Teeven",1
"A.A.G.M. van Raak","G.A. van der Steur",3
"A.A.G.M. van Raak","G.P.J. Koopmans",2
"A.A.G.M. van Raak","H. Brinkman",6
"A.A.G.M. van Raak","J. Recourt",14
"A.A.G.M. van Raak","J. Taverne",1
"A.A.G.M. van Raak","J.A. Hennis-Plasschaert",8
"A.A.G.M. van Raak","J.S. Voordewind",2
"A.A.G.M. van Raak","K. Arib",4
"A.A.G.M. van Raak","Kuiken A.H.",4
"A.A.G.M. van Raak","L.M.J.S. Helder",1
"A.A.G.M. van Raak","M.A. Berndsen",10
"A.A.G.M. van Raak","M.C.A. Smilde",1
"A.A.G.M. van Raak","M.H.P. van Dam",8
"A.A.G.M. van Raak","M.L. Thieme",3
"A.A.G.M. van Raak","M.M. van Toorenburg",6
"A.A.G.M. van Raak","P. de Krom",1
"A.A.G.M. van Raak","P.M.M. Heijnen",15
"A.A.G.M. van Raak","R. de Roon",2
"A.A.G.M. van Raak","R.A. van Vliet",2
"A.A.G.M. van Raak","S. Karabulut",1
"A.A.G.M. van Raak","T. Dibi",17
"A.A.G.M. van Raak","W. Hachchi",7
"A.A.G.M. van Raak","W. van Gent",12
"A.A.G.M. van Raak","W.I.I. van Beek",1
"A.A.H. Hazekamp","A. Slob",1
"A.A.H. Hazekamp","A.H. Kuiken",1
"A.A.H. Hazekamp","C.J.E. Kooiman",1
"A.A.H. Hazekamp","E. Ouwehand",1
"A.A.H. Hazekamp","S. van Veldhoven",1
"A.A.H. Hazekamp","S.W. Dikkers",2
"A.A.H. Hazekamp","T.R. van Dekken",1
"A.A.H. Hazekamp","W. van Gent",1
"A.G. Schouw","A. El Fassed",15
"A.G. Schouw","A. Elissen",4
"A.G. Schouw","A.A.G.M. van Raak",13
"A.G. Schouw","A.W. Lucas",1
"A.G. Schouw","B. van der Ham",1
"A.G. Schouw","B.A.M. Braakhuis",16
"A.G. Schouw","C. Ã‡Ã¶rÃ¼z",1
"A.G. Schouw","C. van Nieuwenhuizen",1
"A.G. Schouw","C. van Nieuwenhuizen-Wijbenga",1
"A.G. Schouw","C.A. Ortega-Martijn",3
"A.G. Schouw","C.G. van der Staaij",13
"A.G. Schouw","C.J. Schouten",2
"A.G. Schouw","C.J.E. Kooiman",1
"A.G. Schouw","E. Irrgang",1
"A.G. Schouw","E. Ouwehand",1
"A.G. Schouw","E.E. Wiegman-van Meppelen Scheppink",2
"A.G. Schouw","G.A. van der Steur",3
"A.G. Schouw","H. Brinkman",1
"A.G. Schouw","H. van Bommel",9
"A.G. Schouw","H.J. Grashoff",3
"A.G. Schouw","H.J. Ormel",6
"A.G. Schouw","H.P.J. van Gerven",1
"A.G. Schouw","J. Recourt",18
"A.G. Schouw","J. Taverne",1
"A.G. Schouw","J.A. Hennis-Plasschaert",5
"A.G. Schouw","J.C.M. Sap",3
"A.G. Schouw","J.F. Klaver",1
"A.G. Schouw","J.H. ten Broeke",7
"A.G. Schouw","J.J. (Jasper) van Dijk",1
"A.G. Schouw","J.L. Spekman",38
"A.G. Schouw","J.S. Monasch",1
"A.G. Schouw","J.S. Voordewind",61
"A.G. Schouw","K. Arib",3
"A.G. Schouw","K.H.D.M. Dijkhoff",2
"A.G. Schouw","L. Bontes",2
"A.G. Schouw","L. Jacobi",1
"A.G. Schouw","L.G.J. Voortman",2
"A.G. Schouw","L.M.J.S. Helder",1
"A.G. Schouw","L.T. Bouwmeester",3
"A.G. Schouw","M. Hilkens",1
"A.G. Schouw","M. Peters",1
"A.G. Schouw","M.A. Berndsen",5
"A.G. Schouw","M.C.A. Smilde",1
"A.G. Schouw","M.G.J. Harbers",1
"A.G. Schouw","M.H.P. van Dam",4
"A.G. Schouw","M.L. Thieme",1
"A.G. Schouw","M.M. van Toorenburg",5
"A.G. Schouw","N. Albayrak",14
"A.G. Schouw","N.C. van den Berge",4
"A.G. Schouw","P.J.M.G. Blanksma-van den Heuvel",1
"A.G. Schouw","P.M.M. Heijnen",21
"A.G. Schouw","R. (Rik) Janssen",2
"A.G. Schouw","R.H.A. Plasterk",6
"A.G. Schouw","R.W. Knops",1
"A.G. Schouw","S. van Veldhoven",1
"A.G. Schouw","S.A.M. Dijksma",10
"A.G. Schouw","S.M.J.G. Gesthuizen",38
"A.G. Schouw","T. Dibi",74
"A.G. Schouw","V.A. Groot",2
"A.G. Schouw","W. Hachchi",5
"A.G. Schouw","W. Koolmees",1
"A.G. Schouw","W. van Gent",3
"A.G. Schouw","W.R.C. Sterk",1
"A.G. Wolbert","A. van Miltenburg",1
"A.G. Wolbert","A.S. Uitslag",2
"A.G. Wolbert","C.G. van der Staaij",16
"A.G. Wolbert","C.J.E. Kooiman",3
"A.G. Wolbert","E. Dijkgraaf",2
"A.G. Wolbert","E. Ouwehand",3
"A.G. Wolbert","E. van der Veen",3
"A.G. Wolbert","E.E. Wiegman-van Meppelen Scheppink",46
"A.G. Wolbert","F. Joldersma",1
"A.G. Wolbert","J. Klijnsma",6
"A.G. Wolbert","L. Jacobi",1
"A.G. Wolbert","L.G.J. Voortman",55
"A.G. Wolbert","L.T. Bouwmeester",2
"A.G. Wolbert","M. Agema",5
"A.G. Wolbert","P.A. Dijkstra",26
"A.G. Wolbert","R.M. Leijten",25
"A.G. Wolbert","T. Venrooy-van Ark",5
"A.H. Kuiken","A. Slob",2
"A.H. Kuiken","A.A.H. Hazekamp",1
"A.H. Kuiken","B. van der Ham",1
"A.H. Kuiken","C.J.E. Kooiman",3
"A.H. Kuiken","E. Ouwehand",4
"A.H. Kuiken","E.E. Wiegman-van Meppelen Scheppink",4
"A.H. Kuiken","F. Bashir",2
"A.H. Kuiken","G.P.J. Koopmans",1
"A.H. Kuiken","H.J. Grashoff",1
"A.H. Kuiken","H.P.J. van Gerven",1
"A.H. Kuiken","J. Houwers",2
"A.H. Kuiken","K. Arib",1
"A.H. Kuiken","K. Verhoeven",3
"A.H. Kuiken","L. van Tongeren",1
"A.H. Kuiken","L.G.J. Voortman",3
"A.H. Kuiken","M. Agema",1
"A.H. Kuiken","M.A. Berndsen",2
"A.H. Kuiken","P.F.C. (Paulus) Jansen",1
"A.H. Kuiken","S. de Rouwe",1
"A.H. Kuiken","W. van Gent",5
"A.H.M. Schaart","A.J. Koppejan",5
"A.H.M. Schaart","B.A.M. Braakhuis",3
"A.H.M. Schaart","C.J. Schouten",1
"A.H.M. Schaart","E. Dijkgraaf",3
"A.H.M. Schaart","E.E. Wiegman-van Meppelen Scheppink",2
"A.H.M. Schaart","G. Verburg",7
"A.H.M. Schaart","G.P.J. Koopmans",1
"A.H.M. Schaart","J.F. Klaver",1
"A.H.M. Schaart","J.J.G. van Bemmel",2
"A.H.M. Schaart","K. Verhoeven",10
"A.H.M. Schaart","M.H.P. van Dam",1
"A.H.M. Schaart","M.M. van Toorenburg",1
"A.H.M. Schaart","P. Ulenbelt",1
"A.H.M. Schaart","P.E. Smeets",1
"A.H.M. Schaart","R.A. van Vliet",2
"A.H.M. Schaart","S. van Veldhoven",1
"A.H.M. Schaart","S.A.M. Dijksma",3
"A.H.M. Schaart","S.M.J.G. Gesthuizen",2
"A.J. Koppejan","A. Slob",16
"A.J. Koppejan","A.H.M. Schaart",5
"A.J. Koppejan","A.W. Lucas",5
"A.J. Koppejan","A.W. Lucas-Smeerdijk",3
"A.J. Koppejan","B.A.M. Braakhuis",4
"A.J. Koppejan","C.J. Schouten",3
"A.J. Koppejan","D.J.G. Graus",1
"A.J. Koppejan","D.M. Samsom",3
"A.J. Koppejan","E. Dijkgraaf",17
"A.J. Koppejan","E. Ouwehand",2
"A.J. Koppejan","E. Ziengs",5
"A.J. Koppejan","E.E. Wiegman-van Meppelen Scheppink",3
"A.J. Koppejan","J. Houwers",15
"A.J. Koppejan","J.F. Klaver",1
"A.J. Koppejan","J.J.G. van Bemmel",6
"A.J. Koppejan","J.S. Voordewind",2
"A.J. Koppejan","K. Gerbrands",5
"A.J. Koppejan","K. Verhoeven",5
"A.J. Koppejan","L. Jacobi",20
"A.J. Koppejan","P. Ulenbelt",1
"A.J. Koppejan","P.E. Smeets",4
"A.J. Koppejan","P.F.C. (Paulus) Jansen",2
"A.J. Koppejan","P.F.C. Jansen",4
"A.J. Koppejan","R. de Mos",2
"A.J. Koppejan","R.A. van Vliet",3
"A.J. Koppejan","S. van Veldhoven",10
"A.J. Koppejan","S.A.M. Dijksma",4
"A.J. Koppejan","S.M.J.G. Gesthuizen",2
"A.J. Koppejan","W.J.H. Lodders",5
"A.M.C. Eijsink","A. Bosman",5
"A.M.C. Eijsink","A. El Fassed",17
"A.M.C. Eijsink","B.A.M. Braakhuis",2
"A.M.C. Eijsink","C.G. van der Staaij",7
"A.M.C. Eijsink","E. Ouwehand",1
"A.M.C. Eijsink","E.E. Wiegman-van Meppelen Scheppink",4
"A.M.C. Eijsink","H. van Bommel",4
"A.M.C. Eijsink","H.G.J. Bruins Slot",2
"A.M.C. Eijsink","H.J. (Rik) Grashoff",3
"A.M.C. Eijsink","H.P.J. van Gerven",1
"A.M.C. Eijsink","J.H. ten Broeke",12
"A.M.C. Eijsink","J.J. (Jasper) van Dijk",21
"A.M.C. Eijsink","J.R.V.A. Dijsselbloem",1
"A.M.C. Eijsink","J.S. Voordewind",14
"A.M.C. Eijsink","L.G.J. Voortman",1
"A.M.C. Eijsink","M.M. Hernandez",4
"A.M.C. Eijsink","M.P.M. Holtackers",1
"A.M.C. Eijsink","N. Albayrak",7
"A.M.C. Eijsink","N.C. van den Berge",1
"A.M.C. Eijsink","P.A. Dijkstra",1
"A.M.C. Eijsink","R.W. Knops",13
"A.M.C. Eijsink","W. Hachchi",27
"A.M.C. Eijsink","W. van Gent",1
"A.P.C. (Tony) van Dijck","C.J. Schouten",1
"A.P.C. (Tony) van Dijck","E. Irrgang",1
"A.P.C. (Tony) van Dijck","E. Ouwehand",1
"A.P.C. (Tony) van Dijck","F.H.H. Weekers",1
"A.P.C. (Tony) van Dijck","G. Wilders",1
"A.P.C. (Tony) van Dijck","I. DezentjÃ© Hamming-Bluemink",1
"A.P.C. (Tony) van Dijck","M.G.J. Harbers",1
"A.P.C. (Tony) van Dijck","P. Ulenbelt",2
"A.P.C. (Tony) van Dijck","P.H. Omtzigt",3
"A.P.C. (Tony) van Dijck","P.J.M.G. Blanksma-van den Heuvel",2
"A.P.C. (Tony) van Dijck","R. Vermeij",3
"A.P.C. (Tony) van Dijck","R.H.A. Plasterk",2
"A.S. Uitslag","A.G. Wolbert",2
"A.S. Uitslag","C.G. van der Staaij",8
"A.S. Uitslag","C.J.E. Kooiman",2
"A.S. Uitslag","E. Ouwehand",2
"A.S. Uitslag","E. van der Veen",1
"A.S. Uitslag","E.E. Wiegman-van Meppelen Scheppink",7
"A.S. Uitslag","H.G.J. Bruins Slot",1
"A.S. Uitslag","H.P.J. van Gerven",1
"A.S. Uitslag","Kuiken A.H.",2
"A.S. Uitslag","L.G.J. Voortman",8
"A.S. Uitslag","L.T. Bouwmeester",1
"A.S. Uitslag","M. Agema",13
"A.S. Uitslag","M.C.A. Smilde",1
"A.S. Uitslag","M.G.J. Harbers",1
"A.S. Uitslag","P.A. Dijkstra",3
"A.S. Uitslag","P.H. Omtzigt",1
"A.S. Uitslag","R.M. Leijten",5
"A.S. Uitslag","T. Venrooy-van Ark",17
"A.S. Uitslag","W.J.H. Lodders",1
"A.S. Uitslag","W.R.C. Sterk",1
"A.W. Lucas","A. El Fassed",1
"A.W. Lucas","A. Slob",1
"A.W. Lucas","A.G. Schouw",1
"A.W. Lucas","A.J. Koppejan",5
"A.W. Lucas","B. van der Ham",7
"A.W. Lucas","E. Dijkgraaf",1
"A.W. Lucas","J.F. Klaver",1
"A.W. Lucas","J.J. (Jasper) van Dijk",2
"A.W. Lucas","K.H.D.M. Dijkhoff",1
"A.W. Lucas","L. Jacobi",4
"A.W. Lucas","L.W.E. de Jong",2
"A.W. Lucas","M.P.M. Holtackers",2
"A.W. Lucas","R. de Mos",4
"A.W. Lucas","S. de Rouwe",10
"A.W. Lucas","S. van Veldhoven",5
"A.W. Lucas","T.M. Jadnanansing",2
"A.W. Lucas-Smeerdijk","A.J. Koppejan",3
"A.W. Lucas-Smeerdijk","D.M. Samsom",4
"A.W. Lucas-Smeerdijk","E. Dijkgraaf",2
"A.W. Lucas-Smeerdijk","G.P.J. Koopmans",1
"A.W. Lucas-Smeerdijk","P.F.C. Jansen",4
"A.W. Lucas-Smeerdijk","R. de Mos",2
"B. van der Ham","A. El Fassed",1
"B. van der Ham","A. Marcouch",1
"B. van der Ham","A. Rouvoet",1
"B. van der Ham","A.G. Schouw",1
"B. van der Ham","A.H. Kuiken",1
"B. van der Ham","A.W. Lucas",7
"B. van der Ham","B.A.M. Braakhuis",2
"B. van der Ham","B.C. de Liefde",1
"B. van der Ham","C.A. Ortega-Martijn",6
"B. van der Ham","C.J.E. Kooiman",4
"B. van der Ham","E. Dijkgraaf",22
"B. van der Ham","F. Koser Kaya",1
"B. van der Ham","H.J. Beertema",3
"B. van der Ham","H.J. Grashoff",1
"B. van der Ham","J. Klijnsma",30
"B. van der Ham","J.C.M. Sap",8
"B. van der Ham","J.F. Klaver",45
"B. van der Ham","J.H. ten Broeke",2
"B. van der Ham","J.J. (Jasper) van Dijk",52
"B. van der Ham","J.J.G.M. Biskop",7
"B. van der Ham","J.L. Spekman",1
"B. van der Ham","J.R.V.A. Dijsselbloem",30
"B. van der Ham","J.S. Voordewind",25
"B. van der Ham","K.G. Ferrier",5
"B. van der Ham","K.H.D.M. Dijkhoff",1
"B. van der Ham","L.T. Bouwmeester",5
"B. van der Ham","M. Ã‡elik",6
"B. van der Ham","M. Hilkens",1
"B. van der Ham","M. Peters",43
"B. van der Ham","M. Smits",25
"B. van der Ham","M.C.I. van der Werf",3
"B. van der Ham","M.H.P. van Dam",7
"B. van der Ham","P.A. Dijkstra",6
"B. van der Ham","P.F.C. (Paulus) Jansen",1
"B. van der Ham","R. Vermeij",1
"B. van der Ham","S. de Rouwe",6
"B. van der Ham","S. Karabulut",2
"B. van der Ham","T. Dibi",10
"B. van der Ham","T.M. Jadnanansing",26
"B. van der Ham","T.M.Ch. Elias",3
"B. van der Ham","V.A. Groot",1
"B. van der Ham","W. van Gent",1
"B.A.M. Braakhuis","A. El Fassed",3
"B.A.M. Braakhuis","A. Mulder",1
"B.A.M. Braakhuis","A. Slob",7
"B.A.M. Braakhuis","A.G. Schouw",16
"B.A.M. Braakhuis","A.H.M. Schaart",3
"B.A.M. Braakhuis","A.J. Koppejan",4
"B.A.M. Braakhuis","A.M.C. Eijsink",2
"B.A.M. Braakhuis","B. van der Ham",2
"B.A.M. Braakhuis","C.J. Schouten",26
"B.A.M. Braakhuis","D.J.G. Graus",1
"B.A.M. Braakhuis","D.M. Samsom",1
"B.A.M. Braakhuis","E. Dijkgraaf",10
"B.A.M. Braakhuis","E. Irrgang",17
"B.A.M. Braakhuis","E. Ouwehand",14
"B.A.M. Braakhuis","E.E. Wiegman-van Meppelen Scheppink",10
"B.A.M. Braakhuis","F. Bashir",9
"B.A.M. Braakhuis","G. Verburg",3
"B.A.M. Braakhuis","G.P.J. Koopmans",1
"B.A.M. Braakhuis","H. van Bommel",4
